"word";"ceviri";"master";"CreatedAt"
"denote";"belirtmek";"database";"2024-05-31 21:52:26"
"certain";"kesin";"database";"2024-05-31 22:21:34"
"eliminate";"elemek";"database";"2024-05-31 22:22:14"
"discarde";"atmak";"database";"2024-05-31 22:23:19"
"union";"birlik, birleþmek";"database";"2024-05-31 23:49:02"
"abstract";"soyut/ override edilmesi gereken fonksiyon";"oop";"2024-06-01 15:38:00"
"domain";"bir veri türüne karþýlýk gelebilecek deðerler kümesi";"oop";"2024-06-01 16:22:47"
"primitive";"ilkel";"oop";"2024-06-01 16:27:26"
"initialize";"bir sistemi-bileþeni ilk deðerine ayarlamak/ bir sürecin baþlatýlmasý, ilk ayarlarýnýn yapýlmasý";"oop";"2024-06-01 17:14:00"
"implement";"uygulamak";"oop";"2024-06-01 17:17:56"
"inheritance";"kalýtým";"oop";"2024-06-01 17:33:14"
"abstraction";"nesne oluþturmadan sadece kalýtým veren sýnýf";"oop";"2024-06-01 17:40:22"
"instantiate";"örneklendirmek";"oop";"2024-06-01 17:42:26"
"conflict";"anlaþmazlýk";"oop";"2024-06-01 17:44:42"
"observe";"gözlemek";"oop";"2024-06-01 17:45:39"
"constructor";"yapýcý, oluþturucu fonksiyon (nesne)";"oop";"2024-06-02 12:14:19"
"comparison";"karþýlaþtýrma";"oop";"2024-06-02 12:47:02"
"immutable";"deðiþtirilemez";"oop";"2024-06-02 12:56:41"
"enum";"java'da sabit deðerler kümesini temsil eden sýnýf türü";"oop";"2024-06-02 13:24:37"
"static";"oop'de bir veriye ya da bir fonksiyona nesne ihtiyacý olmadan eriþilebilmesi göstergesi";"oop";"2024-06-02 17:56:39"
"iterable";"yinelenebilen, listede gezmeni saðlayan";"oop";"2024-06-02 20:41:49"
"instance";"örnek, misal";"oop";"2024-06-02 20:43:56"
"through";"baþýndan sonuna kadar";"oop";"2024-06-02 20:45:03"
"significante";"önemli";"oop";"2024-06-02 20:45:36"
"contain";"kapsamak, içermek";"oop";"2024-06-02 20:46:13"
"indicate";"belirtmek,göstermek";"oop";"2024-06-02 20:49:29"
"constraint";"kýsýtlama";"oop";"2024-06-02 20:58:11"
"polymorphism";"ayný iþi farklý sýnýflar farklý þekilde yapabilir(overload, overwrite)";"oop";"2024-06-02 21:56:50"
"incorporate";"içermek";"data science";"2024-06-10 04:49:33"
"emerge";"ortaya çýkmak";"data science";"2024-06-10 04:52:41"
"exlporatory";"keþif amaçlý";"data science";"2024-06-10 04:53:37"
"scale";"gerekli kapasite";"data science";"2024-06-10 04:56:28"
"approach";"yaklaþým-yaklaþma";"data science";"2024-06-10 04:57:41"
"encompass";"kapsamak";"data science";"2024-06-10 04:59:19"
"reveal";"ortaya çýkarmak";"data science";"2024-06-10 05:01:41"
"stakeholders";"paydaþlar";"data science";"2024-06-10 05:02:51"
"conclusion";"çözüm";"data science";"2024-06-10 05:03:39"
"aggregating";"toplamak birleþtirmek";"data science";"2024-06-10 05:05:14"
"substantive";"asýl, saðlam";"data science";"2024-06-10 05:08:59"
"appreciating";"takdir etmek";"data science";"2024-06-10 05:10:57"
"scarce";"nadir";"data science";"2024-06-10 05:12:45"
"obtain";"elde etmek";"data science";"2024-06-10 05:13:32"
"strive";"çabalamak";"data science";"2024-06-10 05:14:07"
"wisdom";"bilgelik";"data science";"2024-06-10 05:15:44"
"insight";"derinlemesine anlayýþ, farkýndalýk";"data science";"2024-06-10 05:17:19"
"prediction";"tahmin";"data science";"2024-06-10 05:20:26"
"broad";"geniþ, kalýn";"data science";"2024-06-10 05:21:52"
"distribution";"daðýlým";"data science";"2024-06-10 05:25:32"
"annual";"senelik";"data science";"2024-06-10 05:26:33"
"likehood";"olasýlýk";"data science";"2024-06-10 05:48:46"
"cumulative";"kümülatif, birikimli";"data science";"2024-06-10 06:47:10"
"tendency";"eðilim";"data science";"2024-06-10 06:49:20"
"measure";"ölçü";"data science";"2024-06-10 06:50:05"
"delegate";"temsilci,fonksiyon iþaretçisi";"oop";"2024-06-13 02:33:10"
"interface";"iki sistemin birbiri ile iletiþim kurmasýný saðlayan arayüz/ class kalýbý, formatý";"oop";"2024-06-13 02:39:19"
"seald";"mühürlü, bir classýn miras vermesini engeller";"oop";"2024-06-13 02:44:43"
"final";"metod override edilemez, class miraz alamaz, veri deðiþtirilemez";"oop";"2024-06-13 02:46:41"
"property";"eriþim izin çeþitlerinin genel ismi";"oop";"2024-06-13 02:53:36"
"overload";"Ayný sýnýf farklý parametreler ile fonksiyon yazýmý";"oop";"2024-06-13 02:55:55"
"override";"farklý sýnýflarda (miras vs) ayný fonksiyonun yazýmý";"oop";"2024-06-13 02:56:56"
"composition";"bütün parça iliþkisi, parça bütüne baðýmlý var olabilir";"oop";"2024-06-13 03:36:10"
"aggregation";"bütün parça iliþkisi, parçave bütün birbirlerinden baðýmsýz var olabilir";"oop";"2024-06-13 03:43:35"
"association";"nesneler arasý iliþki";"oop";"2024-06-13 03:48:45"
"injection";"dependancy, baðýmlýlýk";"oop";"2024-06-13 03:49:37"
"base";"c# miras veren";"oop";"2024-06-13 03:50:24"
"driver";"c# miras alan";"oop";"2024-06-13 03:50:40"
"superclass";"java miras veren";"oop";"2024-06-13 03:50:57"
"subclass";"java miras alan";"oop";"2024-06-13 03:51:17"
"virtual";"bir þey var olmadan yazýlým, simülasyon yoluyla oluþma/ override edliebilecek fonksiyon";"oop";"2024-06-13 04:09:02"
"annotation";"dipnot (@Override,@Overload) gibi";"oop";"2024-06-29 14:11:49"
"rectangle";"dikdörtgen";"artificial intelligence";"2024-08-10 11:39:17"
"define";"tanimlamak";"artificial intelligence";"2024-08-10 11:45:55"
"expression";"ifade, gosterim, toplama-cikarma gibi semboller";"artificial intelligence";"2024-08-10 12:02:08"
"interaction";"etkilesim";"artificial intelligence";"2024-08-10 12:03:56"
"hc-append";"yan yana ekleme";"artificial intelligence";"2024-08-10 12:12:13"
"vc-append";"alt alta ekleme";"artificial intelligence";"2024-08-10 12:12:47"
"complexity";"karmasiklik";"artificial intelligence";"2024-08-10 13:14:32"
"iterative";"yinelemeli";"artificial intelligence";"2024-08-10 13:17:16"
"deepening";"derinlesme";"artificial intelligence";"2024-08-10 13:18:01"
"breadth";"genislik";"artificial intelligence";"2024-08-10 13:18:49"
"abort";"programin beklenmedik sekilde durmasi";"data science";"2024-08-11 13:23:02"
"violate";"bir kurali, yasayi cignemek";"data science";"2024-08-11 13:25:02"
"serializability";"birden cok islem ayný anda gerceklesirken bunlari sirali hale sokar";"data science";"2024-08-11 13:28:02"
"several";"birkaç";"data science";"2024-08-11 13:29:24"
"deadlock";"birden fazla islem calisirken devam etmek icin birbirlerini sonsuza kadar beklemesi durumu";"data science";"2024-08-11 13:31:17"
"catastrophe";"buyuk felaket yikim";"data science";"2024-08-11 13:36:29"
"partially";"kýsmen";"data science";"2024-08-11 13:38:01"
"committed";"adanmislik, bir islemin gerceklestirilmesi";"data science";"2024-08-11 13:42:30"
"transaction";"bir dizi islem veya komutun bir butun olarak ele alindigi birim";"data science";"2024-08-11 13:44:35"
"atomicity";"islemin tamami gerceklesir ha da hic gerceklesmez";"data science";"2024-08-11 13:48:01"
"consistency";"veri tabanindaki kisit-ihlal lere uygunluk";"data science";"2024-08-11 13:49:04"
"isolation";"izole olmasi";"data science";"2024-08-11 13:49:39"
