word,ceviri,master,CreatedAt
denote,belirtmek,database,"2024-05-31 21:52:26"
certain,kesin,database,"2024-05-31 22:21:34"
eliminate,elemek,database,"2024-05-31 22:22:14"
discarde,atmak,database,"2024-05-31 22:23:19"
union,"birlik, birleşmek",database,"2024-05-31 23:49:02"
abstract,"soyut/ override edilmesi gereken fonksiyon","object oriented programming","2024-06-01 15:38:00"
domain,"bir veri türüne karşılık gelebilecek değerler kümesi","object oriented programming","2024-06-01 16:22:47"
primitive,ilkel,"object oriented programming","2024-06-01 16:27:26"
implement,uygulamak,"object oriented programming","2024-06-01 17:17:56"
inheritance,kalıtım,"object oriented programming","2024-06-01 17:33:14"
abstraction,"nesne oluşturmadan sadece kalıtım veren sınıf","object oriented programming","2024-06-01 17:40:22"
instantiate,örneklendirmek,"object oriented programming","2024-06-01 17:42:26"
conflict,anlaşmazlık,"object oriented programming","2024-06-01 17:44:42"
observe,gözlemek,"object oriented programming","2024-06-01 17:45:39"
constructor,"yapıcı, oluşturucu fonksiyon (nesne)","object oriented programming","2024-06-02 12:14:19"
comparison,karşılaştırma,"object oriented programming","2024-06-02 12:47:02"
immutable,değiştirilemez,"object oriented programming","2024-06-02 12:56:41"
enum,"java'da sabit değerler kümesini temsil eden sınıf türü","object oriented programming","2024-06-02 13:24:37"
static,"oop'de bir veriye ya da bir fonksiyona nesne ihtiyacı olmadan erişilebilmesi göstergesi","object oriented programming","2024-06-02 17:56:39"
iterable,"yinelenebilen, listede gezmeni sağlayan","object oriented programming","2024-06-02 20:41:49"
instance,"örnek, misal","object oriented programming","2024-06-02 20:43:56"
through,"başından sonuna kadar","object oriented programming","2024-06-02 20:45:03"
significante,önemli,"object oriented programming","2024-06-02 20:45:36"
contain,"kapsamak, içermek","object oriented programming","2024-06-02 20:46:13"
indicate,"belirtmek,göstermek","object oriented programming","2024-06-02 20:49:29"
constraint,kısıtlama,"object oriented programming","2024-06-02 20:58:11"
polymorphism,"aynı işi farklı sınıflar farklı şekilde yapabilir(overload, overwrite)","object oriented programming","2024-06-02 21:56:50"
incorporate,içermek,"data science","2024-06-10 04:49:33"
emerge,"ortaya çıkmak","data science","2024-06-10 04:52:41"
exlporatory,"keşif amaçlı","data science","2024-06-10 04:53:37"
scale,"gerekli kapasite","data science","2024-06-10 04:56:28"
approach,yaklaşım-yaklaşma,"data science","2024-06-10 04:57:41"
encompass,kapsamak,"data science","2024-06-10 04:59:19"
reveal,"ortaya çıkarmak","data science","2024-06-10 05:01:41"
stakeholders,paydaşlar,"data science","2024-06-10 05:02:51"
conclusion,çözüm,"data science","2024-06-10 05:03:39"
aggregating,"toplamak birleştirmek","data science","2024-06-10 05:05:14"
substantive,"asıl, sağlam","data science","2024-06-10 05:08:59"
appreciating,"takdir etmek","data science","2024-06-10 05:10:57"
scarce,nadir,"data science","2024-06-10 05:12:45"
obtain,"elde etmek","data science","2024-06-10 05:13:32"
strive,çabalamak,"data science","2024-06-10 05:14:07"
wisdom,bilgelik,"data science","2024-06-10 05:15:44"
insight,"derinlemesine anlayış, farkındalık","data science","2024-06-10 05:17:19"
prediction,tahmin,"data science","2024-06-10 05:20:26"
broad,"geniş, kalın","data science","2024-06-10 05:21:52"
distribution,dağılım,"data science","2024-06-10 05:25:32"
annual,senelik,"data science","2024-06-10 05:26:33"
likehood,olasılık,"data science","2024-06-10 05:48:46"
cumulative,"kümülatif, birikimli","data science","2024-06-10 06:47:10"
tendency,eğilim,"data science","2024-06-10 06:49:20"
measure,ölçü,"data science","2024-06-10 06:50:05"
delegate,"temsilci,fonksiyon işaretçisi","object oriented programming","2024-06-13 02:33:10"
interface,"iki sistemin birbiri ile iletişim kurmasını sağlayan arayüz/ class kalıbı, formatı","object oriented programming","2024-06-13 02:39:19"
seald,"mühürlü, bir classın miras vermesini engeller","object oriented programming","2024-06-13 02:44:43"
final,"metod override edilemez, class miraz alamaz, veri değiştirilemez","object oriented programming","2024-06-13 02:46:41"
property,"erişim izin çeşitlerinin genel ismi","object oriented programming","2024-06-13 02:53:36"
overload,"Aynı sınıf farklı parametreler ile fonksiyon yazımı","object oriented programming","2024-06-13 02:55:55"
override,"farklı sınıflarda (miras vs) aynı fonksiyonun yazımı","object oriented programming","2024-06-13 02:56:56"
composition,"bütün parça ilişkisi, parça bütüne bağımlı var olabilir","object oriented programming","2024-06-13 03:36:10"
aggregation,"bütün parça ilişkisi, parçave bütün birbirlerinden bağımsız var olabilir","object oriented programming","2024-06-13 03:43:35"
association,"nesneler arası ilişki","object oriented programming","2024-06-13 03:48:45"
injection,"dependancy, bağımlılık","object oriented programming","2024-06-13 03:49:37"
base,"c# miras veren","object oriented programming","2024-06-13 03:50:24"
driver,"c# miras alan","object oriented programming","2024-06-13 03:50:40"
superclass,"java miras veren","object oriented programming","2024-06-13 03:50:57"
subclass,"java miras alan","object oriented programming","2024-06-13 03:51:17"
virtual,"bir şey var olmadan yazılım, simülasyon yoluyla oluşma/ override edliebilecek fonksiyon","object oriented programming","2024-06-13 04:09:02"
annotation,"dipnot (@Override,@Overload) gibi","object oriented programming","2024-06-29 14:11:49"
rectangle,dikdörtgen,"artificial intelligence","2024-08-10 11:39:17"
define,tanimlamak,"artificial intelligence","2024-08-10 11:45:55"
expression,"ifade, gosterim, toplama-cikarma gibi semboller","artificial intelligence","2024-08-10 12:02:08"
interaction,etkilesim,"artificial intelligence","2024-08-10 12:03:56"
hc-append,"yan yana ekleme","artificial intelligence","2024-08-10 12:12:13"
vc-append,"alt alta ekleme","artificial intelligence","2024-08-10 12:12:47"
complexity,karmasiklik,"artificial intelligence","2024-08-10 13:14:32"
iterative,yinelemeli,"artificial intelligence","2024-08-10 13:17:16"
deepening,derinlesme,"artificial intelligence","2024-08-10 13:18:01"
breadth,genislik,"artificial intelligence","2024-08-10 13:18:49"
abort,"programin beklenmedik sekilde durmasi","data science","2024-08-11 13:23:02"
violate,"bir kurali, yasayi cignemek","data science","2024-08-11 13:25:02"
serializability,"birden cok islem aynı anda gerceklesirken bunlari sirali hale sokar","data science","2024-08-11 13:28:02"
several,birkaç,"data science","2024-08-11 13:29:24"
deadlock,"birden fazla islem calisirken devam etmek icin birbirlerini sonsuza kadar beklemesi durumu","data science","2024-08-11 13:31:17"
catastrophe,"buyuk felaket yikim","data science","2024-08-11 13:36:29"
partially,kısmen,"data science","2024-08-11 13:38:01"
committed,"adanmislik, bir islemin gerceklestirilmesi","data science","2024-08-11 13:42:30"
transaction,"bir dizi islem veya komutun bir butun olarak ele alindigi birim","data science","2024-08-11 13:44:35"
atomicity,"islemin tamami gerceklesir ha da hic gerceklesmez","data science","2024-08-11 13:48:01"
consistency,"veri tabanindaki kisit-ihlal lere uygunluk","data science","2024-08-11 13:49:04"
isolation,"izole olmasi","data science","2024-08-11 13:49:39"
durability,"degisikler islem bitince kalici","data science","2024-08-11 13:50:07"
terminate,"bir islem veya durumun sonlanmasi","data science","2024-08-11 13:51:24"
specify,"bir seyin detayini gereksinimlerini kosullarini acikca acıklamak","data science","2024-08-11 14:06:10"
subsequent,"bir olayin önceki olaydan hemen sonra gerceklestigini belirtir","data science","2024-08-11 14:08:05"
concurrency,"ayni anda birden fazla islemin gerceklesmesi","data science","2024-08-11 14:30:34"
